Posição,Pos. Med Mov.,Velocidade,Vel. Med. Mov.,Aceleração,Gravidade,Energia Cinética,Energia Pot.,Tempo
"0,004",,,,,"10,064",,,"0,06563"
"0,005",,,,,,,,"0,06667"
"0,006",,,,,"10,16413798",,,"0,06771"
"0,007",,,,,,,,"0,06875"
"0,008",,,,,,,,"0,06979"
"0,009",,,,,,,,"0,07083"
"0,010",,,,,,,,"0,07188"
"0,011",,,,,,,,"0,07292"
"0,012",,,,,,,,"0,07396"
"0,013",,,,,,,,"0,07500"
"0,014",,,,,,,,"0,07604"
"0,014",,,,,,,,"0,07708"
"0,016",,,,,,,,"0,07813"
"0,017",,,,,,,,"0,07917"
"0,018",,,,,,,,"0,08021"
"0,019",,,,,,,,"0,08125"
"0,021",,,,,,,,"0,08229"
"0,022",,,,,,,,"0,08333"
"0,023","0,013",,,,,,,"0,08438"
"0,025","0,014","0,555",,,,,,"0,08542"
"0,026","0,015","1,047",,,,,,"0,08646"
"0,027","0,016","1,040",,,,,,"0,08750"
"0,028","0,017","1,029",,,,,,"0,08854"
"0,029","0,018","1,032",,,,,,"0,08958"
"0,030","0,019","1,048",,,,,,"0,09062"
"0,032","0,020","1,091",,,,,,"0,09167"
"0,032","0,021","1,073","0,989",,,"0,0060","0,1198","0,09271"
"0,033","0,023","1,081","1,000","9,816",,"0,0061","0,1197","0,09375"
"0,034","0,024","1,057","1,005","5,549",,"0,0062","0,1196","0,09479"
"0,035","0,025","1,048","1,055","47,307",,"0,0068","0,1194","0,09583"
"0,037","0,026","1,073","1,057","2,498",,"0,0069","0,1193","0,09687"
"0,037","0,027","1,104","1,064","6,069",,"0,0070","0,1192","0,09792"
"0,039","0,028","1,104","1,071","7,147",,"0,0071","0,1190","0,09896"
"0,040","0,029","1,092","1,077","5,829",,"0,0071","0,1188","0,10000"
"0,042","0,030","1,134","1,086","8,276",,"0,0073","0,1186","0,10104"
"0,043","0,032","1,147","1,091","5,322",,"0,0073","0,1185","0,10208"
"0,045","0,033","1,151","1,099","7,488",,"0,0074","0,1183","0,10313"
"0,046","0,034","1,136","1,105","5,253",,"0,0075","0,1181","0,10417"
"0,047","0,035","1,148","1,114","8,709",,"0,0076","0,1179","0,10521"
"0,048","0,036","1,138","1,123","8,663",,"0,0078","0,1178","0,10625"
"0,050","0,038","1,149","1,130","7,235",,"0,0079","0,1176","0,10729"
"0,050","0,039","1,136","1,133","3,133",,"0,0079","0,1176","0,10833"
"0,052","0,040","1,182","1,141","7,557",,"0,0080","0,1173","0,10938"
"0,053","0,041","1,189","1,151","9,262",,"0,0081","0,1172","0,11042"
"0,055","0,043","1,220","1,160","8,248",,"0,0083","0,1169","0,11146"
"0,057","0,044","1,217","1,167","6,728",,"0,0084","0,1167","0,11250"
"0,059","0,045","1,262","1,178","10,737",,"0,0085","0,1165","0,11354"
