Posição,Pos. Med Mov.,Velocidade,Vel. Med. Mov.,Aceleração,Gravidade,Energia Cinética,Energia Pot.,Tempo
"-0,012",,,,,"9,883",,,"0,06354"
"-0,011",,,,,,,,"0,06458"
"-0,010",,,,,,,,"0,06563"
"-0,009",,,,,,,,"0,06667"
"-0,008",,,,,,,,"0,06771"
"-0,008",,,,,,,,"0,06875"
"-0,007",,,,,,,,"0,06979"
"-0,006",,,,,,,,"0,07083"
"-0,005",,,,,,,,"0,07188"
"-0,005",,,,,,,,"0,07292"
"-0,004",,,,,,,,"0,07396"
"-0,003",,,,,,,,"0,07500"
"-0,002",,,,,,,,"0,07604"
"-0,001",,,,,,,,"0,07708"
"0,000",,,,,,,,"0,07813"
"0,001",,,,,,,,"0,07917"
"0,002",,,,,,,,"0,08021"
"0,002",,,,,,,,"0,08125"
"0,003","-0,004",,,,,,,"0,08229"
"0,004","-0,004","0,411",,,,,,"0,08333"
"0,006","-0,003","0,827",,,,,,"0,08438"
"0,007","-0,002","0,841",,,,,,"0,08542"
"0,007","-0,001","0,827",,,,,,"0,08646"
"0,008","0,000","0,825",,,,,,"0,08750"
"0,009","0,000","0,830",,,,,,"0,08854"
"0,010","0,001","0,821",,,,,,"0,08958"
"0,011","0,002","0,851","0,779",,,"0,0037","0,1202","0,09062"
"0,012","0,003","0,885","0,791","11,324",,"0,0038","0,1201","0,09167"
"0,013","0,004","0,884","0,800","8,893",,"0,0039","0,1200","0,09271"
"0,014","0,005","0,888","0,848","45,774",,"0,0044","0,1199","0,09375"
"0,015","0,006","0,897","0,855","6,668",,"0,0045","0,1197","0,09479"
"0,016","0,007","0,923","0,863","7,930",,"0,0046","0,1196","0,09583"
"0,017","0,008","0,916","0,872","8,474",,"0,0047","0,1195","0,09687"
"0,018","0,009","0,924","0,882","9,570",,"0,0048","0,1193","0,09792"
"0,019","0,010","0,928","0,892","9,397",,"0,0049","0,1192","0,09896"
"0,020","0,011","0,943","0,904","11,649",,"0,0050","0,1191","0,10000"
"0,021","0,012","0,952","0,914","9,709",,"0,0051","0,1190","0,10104"
"0,023","0,013","0,977","0,923","8,778",,"0,0052","0,1188","0,10208"
"0,024","0,014","0,982","0,933","9,433",,"0,0054","0,1187","0,10313"
"0,025","0,015","0,987","0,943","9,511",,"0,0055","0,1185","0,10417"
"0,026","0,016","0,974","0,951","7,470",,"0,0056","0,1184","0,10521"
"0,027","0,017","0,967","0,955","4,170",,"0,0056","0,1183","0,10625"
"0,028","0,018","0,997","0,963","7,847",,"0,0057","0,1181","0,10729"
"0,029","0,019","1,016","0,972","8,830",,"0,0058","0,1180","0,10833"
"0,031","0,020","1,040","0,984","10,745",,"0,0059","0,1178","0,10938"
"0,032","0,021","1,067","0,996","11,912",,"0,0061","0,1177","0,11042"
"0,033","0,022","1,049","1,006","9,313",,"0,0062","0,1176","0,11146"
"0,034","0,023","1,032","1,011","5,345",,"0,0063","0,1175","0,11250"
"0,035","0,024","1,053","1,018","6,838",,"0,0064","0,1173","0,11354"
"0,036","0,025","1,065","1,026","7,442",,"0,0065","0,1172","0,11458"
"0,038","0,027","1,080","1,037","10,096",,"0,0066","0,1170","0,11563"
"0,039","0,028","1,076","1,048","10,515",,"0,0067","0,1169","0,11667"
"0,040","0,029","1,090","1,057","8,857",,"0,0069","0,1167","0,11771"
"0,041","0,030","1,098","1,065","7,861",,"0,0070","0,1165","0,11875"
"0,043","0,031","1,111","1,072","6,834",,"0,0071","0,1164","0,11979"
"0,044","0,032","1,125","1,078","5,603",,"0,0071","0,1162","0,12083"
"0,045","0,034","1,135","1,086","8,202",,"0,0073","0,1161","0,12188"
"0,046","0,035","1,142","1,097","10,506",,"0,0074","0,1159","0,12292"
"0,048","0,036","1,151","1,107","9,354",,"0,0075","0,1158","0,12396"
"0,049","0,037","1,165","1,117","9,677",,"0,0077","0,1156","0,12500"
"0,051","0,038","1,186","1,128","10,184",,"0,0078","0,1154","0,12604"
"0,052","0,040","1,202","1,140","12,119",,"0,0080","0,1153","0,12708"
"0,053","0,041","1,201","1,152","10,691",,"0,0082","0,1151","0,12813"
"0,054","0,042","1,207","1,163","10,460",,"0,0083","0,1150","0,12917"
"0,056","0,043","1,200","1,171","8,525",,"0,0084","0,1148","0,13021"
"0,057","0,045","1,211","1,180","8,202",,"0,0086","0,1146","0,13125"
"0,059","0,046","1,230","1,189","9,124",,"0,0087","0,1144","0,13229"
"0,060","0,047","1,246","1,200","9,999",,"0,0089","0,1143","0,13333"
"0,061","0,049","1,253","1,210","9,815",,"0,0090","0,1141","0,13438"
"0,062","0,050","1,259","1,219","8,986",,"0,0091","0,1140","0,13542"
"0,064","0,051","1,267","1,228","7,834",,"0,0093","0,1138","0,13646"
"0,065","0,052","1,271","1,234","6,543",,"0,0094","0,1136","0,13750"
"0,067","0,054","1,273","1,242","6,958",,"0,0095","0,1135","0,13854"
"0,068","0,055","1,288","1,250","7,788",,"0,0096","0,1133","0,13958"
"0,070","0,056","1,307","1,260","10,276",,"0,0098","0,1131","0,14063"
"0,071","0,058","1,321","1,272","10,598",,"0,0099","0,1129","0,14167"
"0,073","0,059","1,336","1,282","10,230",,"0,0101","0,1127","0,14271"
"0,074","0,061","1,342","1,292","9,170",,"0,0103","0,1125","0,14375"
"0,076","0,062","1,344","1,301","8,709",,"0,0104","0,1123","0,14479"
"0,077","0,063","1,357","1,311","9,400",,"0,0106","0,1122","0,14583"
"0,079","0,065","1,366","1,320","9,492",,"0,0107","0,1120","0,14688"
"0,080","0,066","1,365","1,330","9,032",,"0,0109","0,1118","0,14792"
"0,082","0,068","1,389","1,341","11,105",,"0,0111","0,1116","0,14896"
"0,083","0,069","1,391","1,352","9,861",,"0,0112","0,1114","0,15000"
"0,085","0,071","1,407","1,362","9,631",,"0,0114","0,1112","0,15104"
"0,087","0,072","1,426","1,372","10,045",,"0,0116","0,1110","0,15208"
"0,088","0,074","1,437","1,382","9,677",,"0,0118","0,1108","0,15313"
"0,090","0,075","1,444","1,393","9,815",,"0,0119","0,1106","0,15417"
"0,091","0,077","1,449","1,403","10,138",,"0,0121","0,1104","0,15521"
"0,093","0,078","1,477","1,415","11,520",,"0,0123","0,1102","0,15625"
"0,095","0,080","1,492","1,428","12,119",,"0,0125","0,1100","0,15729"
"0,096","0,081","1,500","1,441","12,948",,"0,0128","0,1098","0,15833"
"0,098","0,083","1,524","1,455","12,902",,"0,0130","0,1096","0,15938"
"0,100","0,085","1,523","1,468","12,626",,"0,0132","0,1094","0,16042"
"0,102","0,086","1,544","1,481","13,087",,"0,0135","0,1092","0,16146"
"0,104","0,088","1,569","1,496","13,778",,"0,0138","0,1089","0,16250"
"0,105","0,089","1,539","1,506","9,769",,"0,0139","0,1088","0,16354"
"0,107","0,091","1,571","1,519","12,165",,"0,0142","0,1086","0,16458"
"0,108","0,093","1,547","1,528","9,354",,"0,0144","0,1084","0,16563"
