Posição,Pos. Med Mov.,Velocidade,Vel. Med. Mov.,Aceleração,Gravidade,Energia Cinética,Energia Pot.,Tempo
"-0,030",,,,,"10,133",,,"0,00000"
"-0,030",,,,,,,,"0,00104"
"-0,030",,,,,,,,"0,00208"
"-0,030",,,,,,,,"0,00313"
"-0,030",,,,,,,,"0,00417"
"-0,030",,,,,,,,"0,00521"
"-0,029",,,,,,,,"0,00625"
"-0,029",,,,,,,,"0,00729"
"-0,029",,,,,,,,"0,00833"
"-0,029",,,,,,,,"0,00938"
"-0,029",,,,,,,,"0,01042"
"-0,029",,,,,,,,"0,01146"
"-0,029",,,,,,,,"0,01250"
"-0,029",,,,,,,,"0,01354"
"-0,029",,,,,,,,"0,01458"
"-0,029",,,,,,,,"0,01563"
"-0,029",,,,,,,,"0,01667"
"-0,029",,,,,,,,"0,01771"
"-0,029","-0,029",,,,,,,"0,01875"
"-0,029","-0,029","0,024",,,,,,"0,01979"
"-0,029","-0,029","0,048",,,,,,"0,02083"
"-0,029","-0,029","0,049",,,,,,"0,02188"
"-0,029","-0,029","0,044",,,,,,"0,02292"
"-0,029","-0,029","0,041",,,,,,"0,02396"
"-0,029","-0,029","0,027",,,,,,"0,02500"
"-0,029","-0,029","0,036",,,,,,"0,02604"
"-0,029","-0,029","0,031","0,037",,,"0,0000","0,1282","0,02708"
"-0,029","-0,029","0,034","0,037","-0,405",,"0,0000","0,1282","0,02813"
"-0,030","-0,029","-0,018","0,031","-5,300",,"0,0000","0,1283","0,02917"
"-0,019","-0,028","0,459","0,075","41,831",,"0,0000","0,1270","0,03021"
"-0,019","-0,028","0,466","0,117","40,136",,"0,0001","0,1270","0,03125"
"-0,019","-0,027","0,467","0,159","40,136",,"0,0002","0,1270","0,03229"
"-0,019","-0,027","0,480","0,202","41,841",,"0,0003","0,1269","0,03333"
"-0,018","-0,026","0,496","0,248","43,638",,"0,0004","0,1269","0,03438"
"-0,018","-0,026","0,518","0,297","47,186",,"0,0005","0,1269","0,03542"
"-0,017","-0,025","0,539","0,347","48,246",,"0,0007","0,1268","0,03646"
"-0,017","-0,025","0,577","0,402","52,439",,"0,0010","0,1267","0,03750"
"-0,016","-0,024","0,601","0,458","54,513",,"0,0013","0,1266","0,03854"
"-0,015","-0,023","0,640","0,524","63,176",,"0,0017","0,1265","0,03958"
"-0,015","-0,023","0,664","0,545","19,630",,"0,0018","0,1265","0,04063"
"-0,014","-0,022","0,711","0,569","23,593",,"0,0020","0,1264","0,04167"
"-0,013","-0,021","0,754","0,598","27,510",,"0,0022","0,1263","0,04271"
"-0,013","-0,020","0,764","0,626","27,325",,"0,0024","0,1262","0,04375"
