Posição,Pos. Med Mov.,Velocidade,Vel. Med. Mov.,Aceleração,Gravidade,Energia Cinética,Energia Pot.,Tempo
"-0,009",,,,,"9,839",,,"0,03021"
"-0,007",,,,,,,,"0,03125"
"-0,007",,,,,,,,"0,03229"
"-0,006",,,,,,,,"0,03333"
"-0,006",,,,,,,,"0,03438"
"-0,006",,,,,,,,"0,03542"
"-0,005",,,,,,,,"0,03646"
"-0,004",,,,,,,,"0,03750"
"-0,003",,,,,,,,"0,03854"
"-0,002",,,,,,,,"0,03958"
"-0,001",,,,,,,,"0,04063"
"0,000",,,,,,,,"0,04167"
"0,001",,,,,,,,"0,04271"
"0,001",,,,,,,,"0,04375"
"0,002",,,,,,,,"0,04479"
"0,003",,,,,,,,"0,04583"
"0,004",,,,,,,,"0,04688"
"0,005",,,,,,,,"0,04792"
"0,006","-0,002",,,,,,,"0,04896"
"0,006","-0,001","0,388",,,,,,"0,05000"
"0,007","-0,001","0,784",,,,,,"0,05104"
"0,008","0,000","0,744",,,,,,"0,05208"
"0,010","0,001","0,800",,,,,,"0,05313"
"0,010","0,002","0,787",,,,,,"0,05417"
"0,011","0,003","0,809",,,,,,"0,05521"
"0,012","0,004","0,849",,,,,,"0,05625"
"0,014","0,005","0,877","0,755",,,"0,0035","0,1194","0,05729"
"0,014","0,005","0,852","0,766","10,402",,"0,0036","0,1193","0,05833"
"0,015","0,006","0,864","0,775","9,487",,"0,0037","0,1192","0,05938"
"0,015","0,007","0,834","0,820","42,813",,"0,0041","0,1192","0,06042"
"0,016","0,008","0,838","0,825","5,170",,"0,0042","0,1190","0,06146"
"0,018","0,009","0,845","0,836","9,695",,"0,0043","0,1189","0,06250"
"0,019","0,010","0,846","0,840","4,404",,"0,0043","0,1188","0,06354"
"0,020","0,011","0,884","0,850","9,313",,"0,0044","0,1186","0,06458"
"0,021","0,012","0,902","0,859","8,935",,"0,0045","0,1185","0,06563"
"0,022","0,013","0,924","0,867","7,271",,"0,0046","0,1183","0,06667"
"0,023","0,014","0,920","0,871","4,110",,"0,0047","0,1182","0,06771"
"0,024","0,015","0,889","0,875","3,548",,"0,0047","0,1181","0,06875"
"0,025","0,016","0,922","0,881","5,553",,"0,0048","0,1180","0,06979"
"0,026","0,016","0,940","0,891","10,151",,"0,0049","0,1179","0,07083"
"0,027","0,017","0,960","0,903","11,644",,"0,0050","0,1177","0,07188"
"0,029","0,019","0,986","0,917","13,589",,"0,0052","0,1175","0,07292"
"0,030","0,020","0,970","0,930","11,908",,"0,0053","0,1174","0,07396"
"0,031","0,021","0,990","0,940","10,147",,"0,0054","0,1173","0,07500"
"0,032","0,022","1,007","0,951","10,055",,"0,0056","0,1171","0,07604"
"0,033","0,023","0,996","0,958","6,926",,"0,0056","0,1170","0,07708"
"0,034","0,024","0,996","0,966","7,341",,"0,0057","0,1169","0,07813"
"0,035","0,025","1,025","0,979","13,059",,"0,0059","0,1167","0,07917"
"0,037","0,026","1,031","0,990","10,442",,"0,0060","0,1166","0,08021"
"0,038","0,027","1,094","1,006","14,778",,"0,0062","0,1164","0,08125"
"0,039","0,028","1,089","1,018","12,396",,"0,0064","0,1163","0,08229"
"0,040","0,029","1,075","1,027","8,474",,"0,0065","0,1162","0,08333"
"0,042","0,030","1,102","1,040","12,644",,"0,0067","0,1160","0,08438"
"0,043","0,032","1,098","1,051","10,363",,"0,0068","0,1159","0,08542"
"0,044","0,033","1,104","1,061","9,262",,"0,0069","0,1157","0,08646"
"0,045","0,034","1,106","1,072","10,506",,"0,0071","0,1156","0,08750"
"0,047","0,035","1,121","1,084","11,981",,"0,0072","0,1154","0,08854"
"0,048","0,036","1,146","1,096","11,612",,"0,0074","0,1152","0,08958"
"0,049","0,037","1,159","1,109","12,303",,"0,0076","0,1150","0,09063"
"0,050","0,039","1,178","1,118","8,110",,"0,0077","0,1149","0,09167"
"0,052","0,040","1,176","1,126","8,433",,"0,0078","0,1147","0,09271"
"0,053","0,041","1,171","1,136","9,262",,"0,0079","0,1146","0,09375"
"0,055","0,042","1,192","1,145","8,709",,"0,0081","0,1144","0,09479"
"0,056","0,044","1,205","1,156","10,276",,"0,0082","0,1143","0,09583"
"0,057","0,045","1,217","1,167","10,875",,"0,0084","0,1141","0,09688"
"0,059","0,046","1,233","1,180","12,211",,"0,0086","0,1139","0,09792"
"0,060","0,047","1,239","1,192","11,382",,"0,0087","0,1137","0,09896"
"0,061","0,049","1,252","1,202","10,138",,"0,0089","0,1136","0,10000"
"0,063","0,050","1,251","1,212","8,801",,"0,0090","0,1134","0,10104"
"0,064","0,051","1,249","1,219","6,820",,"0,0091","0,1133","0,10208"
"0,065","0,053","1,266","1,228","8,617",,"0,0093","0,1131","0,10313"
"0,067","0,054","1,287","1,239","11,105",,"0,0094","0,1129","0,10417"
"0,068","0,055","1,283","1,248","8,709",,"0,0096","0,1128","0,10521"
"0,069","0,057","1,287","1,256","7,926",,"0,0097","0,1126","0,10625"
"0,071","0,058","1,269","1,262","4,977",,"0,0098","0,1125","0,10729"
"0,072","0,059","1,290","1,267","5,484",,"0,0099","0,1123","0,10833"
"0,074","0,061","1,295","1,273","5,345",,"0,0100","0,1121","0,10938"
"0,075","0,062","1,290","1,277","3,640",,"0,0100","0,1120","0,11042"
"0,076","0,063","1,286","1,280","3,364",,"0,0101","0,1118","0,11146"
"0,077","0,065","1,293","1,285","4,193",,"0,0101","0,1116","0,11250"
"0,079","0,066","1,310","1,289","4,239",,"0,0102","0,1114","0,11354"
"0,081","0,067","1,334","1,294","4,562",,"0,0103","0,1112","0,11458"
"0,083","0,069","1,353","1,301","6,682",,"0,0104","0,1110","0,11563"
"0,084","0,070","1,372","1,309","8,156",,"0,0105","0,1108","0,11667"
"0,086","0,072","1,374","1,320","10,092",,"0,0107","0,1106","0,11771"
"0,087","0,073","1,365","1,327","7,142",,"0,0108","0,1105","0,11875"
"0,089","0,075","1,387","1,336","8,801",,"0,0110","0,1102","0,11979"
"0,090","0,076","1,391","1,346","9,723",,"0,0112","0,1101","0,12083"
"0,092","0,077","1,411","1,359","11,981",,"0,0114","0,1099","0,12188"
"0,094","0,079","1,450","1,375","15,022",,"0,0116","0,1096","0,12292"
"0,096","0,081","1,455","1,389","13,916",,"0,0119","0,1094","0,12396"
"0,097","0,082","1,469","1,403","12,902",,"0,0121","0,1092","0,12500"
"0,099","0,084","1,469","1,414","11,197",,"0,0123","0,1091","0,12604"
"0,101","0,085","1,516","1,429","13,824",,"0,0126","0,1088","0,12708"
"0,102","0,087","1,511","1,442","13,179",,"0,0128","0,1087","0,12813"
"0,103","0,088","1,487","1,455","11,704",,"0,0130","0,1086","0,12917"
"0,105","0,090","1,509","1,467","11,750",,"0,0132","0,1083","0,13021"
"0,107","0,091","1,554","1,483","15,621",,"0,0135","0,1081","0,13125"
"0,109","0,093","1,578","1,500","16,036",,"0,0138","0,1078","0,13229"
"0,111","0,095","1,611","1,516","15,529",,"0,0141","0,1076","0,13333"
"0,112","0,096","1,570","1,527","11,013",,"0,0143","0,1075","0,13438"
"0,114","0,098","1,589","1,539","11,566",,"0,0146","0,1072","0,13542"
"0,116","0,100","1,595","1,552","12,073",,"0,0148","0,1070","0,13646"
"0,117","0,101","1,569","1,557","5,069",,"0,0149","0,1069","0,13750"
"0,119","0,103","1,583","1,565","6,912",,"0,0151","0,1066","0,13854"
"0,121","0,105","1,630","1,579","13,732",,"0,0153","0,1064","0,13958"
"0,123","0,106","1,632","1,591","11,796",,"0,0156","0,1061","0,14063"
"0,125","0,108","1,660","1,602","10,184",,"0,0158","0,1059","0,14167"
"0,126","0,110","1,624","1,606","4,470",,"0,0159","0,1058","0,14271"
"0,128","0,112","1,628","1,608","1,567",,"0,0159","0,1055","0,14375"
"0,130","0,113","1,644","1,615","7,096",,"0,0160","0,1053","0,14479"
"0,131","0,115","1,613","1,618","2,258",,"0,0161","0,1052","0,14583"
"0,133","0,117","1,640","1,622","4,285",,"0,0162","0,1049","0,14688"
"0,135","0,118","1,632","1,628","6,036",,"0,0163","0,1047","0,14792"
"0,137","0,120","1,680","1,638","9,308",,"0,0165","0,1044","0,14896"
"0,139","0,122","1,728","1,648","9,446",,"0,0167","0,1042","0,15000"
"0,141","0,124","1,728","1,658","9,216",,"0,0169","0,1040","0,15104"
"0,143","0,126","1,728","1,664","6,543",,"0,0170","0,1037","0,15208"
"0,144","0,127","1,680","1,670","5,345",,"0,0172","0,1036","0,15313"
"0,147","0,129","1,728","1,680","9,631",,"0,0174","0,1032","0,15417"
"0,149","0,131","1,776","1,693","12,672",,"0,0176","0,1030","0,15521"
"0,151","0,133","1,776","1,710","15,667",,"0,0180","0,1027","0,15625"
"0,153","0,135","1,776","1,723","13,087",,"0,0183","0,1025","0,15729"
"0,154","0,136","1,776","1,738","13,824",,"0,0186","0,1024","0,15833"
"0,156","0,138","1,776","1,747","9,216",,"0,0188","0,1021","0,15938"
"0,158","0,140","1,776","1,752","4,608",,"0,0189","0,1019","0,16042"
"0,160","0,142","1,776","1,757","4,608",,"0,0190","0,1017","0,16146"
"0,162","0,144","1,776","1,762","4,608",,"0,0191","0,1014","0,16250"
"0,164","0,146","1,824","1,776","13,824",,"0,0194","0,1012","0,16354"
"0,166","0,148","1,824","1,786","9,216",,"0,0196","0,1009","0,16458"
"0,169","0,150","1,872","1,795","9,216",,"0,0198","0,1006","0,16563"
"0,170","0,152","1,872","1,805","9,216",,"0,0200","0,1004","0,16667"
