Index,Periodos (s),Gravidade (m/s²),Média (g),Desvio P (g), Nº Dados
279,"2,81","10,84942772",,,
280,3,"9,518685133",,,
281,"2,95","9,844086895",,,
282,"2,97","9,711952998",,,
283,"2,85","10,54701954",,,
284,"2,98","9,646881469",,,
285,"3,08","9,030629765",,,
286,"2,88","10,32843439",,,
287,"3,23","8,211347392",,,
288,"2,76","11,24608357",,,
289,"2,94","9,911167361",,,
290,"3,02","9,393027302",,,
291,"2,89","10,257081",,,
292,"3,39","7,454526692",,,
293,"2,82","10,77261785",,,
294,"2,91","10,1165747",,,
295,"2,8","10,92706202",,,
296,"2,99","9,58246174",,,
297,"2,94","9,911167361",,,
298,"2,97","9,711952998",,,
299,"2,83","10,69662078",,,
300,"3,26","8,060913678",,,
301,"2,99","9,58246174",,,
302,"3,03","9,331129432",,,
303,"2,98","9,646881469",,,
304,"3,03","9,331129432",,,
305,"2,71","11,66489647",,,
306,"2,85","10,54701954",,,
307,"3,09","8,972273667",,,
308,"3,11","8,857245707",,,
309,"2,96","9,777685149",,,
310,3,"9,518685133",,,
311,"2,91","10,1165747",,,
312,"2,9","10,18646447",,,
313,"2,91","10,1165747",,,
314,"3,01","9,455543118",,,
315,"3,11","8,857245707",,,
316,"2,66","12,10754794",,,
317,"2,86","10,4733931",,,
318,"2,99","9,58246174",,,
319,"3,02","9,393027302",,,
320,"2,96","9,777685149",,,
321,"2,99","9,58246174",,,
322,"2,96","9,777685149",,,
323,"2,96","9,777685149",,,
324,"3,01","9,455543118",,,
325,"2,88","10,32843439",,,
326,"3,05","9,209155195",,,
327,"3,02","9,393027302",,,
328,"3,02","9,393027302",,,
329,"2,98","9,646881469",,,
330,"3,05","9,209155195",,,
331,"2,9","10,18646447",,,
332,"3,04","9,269841391",,,
333,"2,87","10,40053493",,,
334,"2,94","9,911167361",,,
335,"2,96","9,777685149",,,
336,"3,2","8,366031856",,,
337,"2,49","13,8172233",,,
338,"3,07","9,089557046",,,
339,"3,13","8,744415703",,,
340,"2,75","11,32802198",,,
341,"3,1","8,914481395",,,
342,"2,78","11,08485148",,,
343,"3,18","8,471595882",,,
344,"2,89","10,257081",,,
345,"2,96","9,777685149",,,
346,"2,87","10,40053493",,,
347,"2,93","9,978935829",,,
348,3,"9,518685133",,,
349,"2,95","9,844086895",,,
350,"3,09","8,972273667",,,
351,"2,77","11,16503098",,,
352,3,"9,518685133",,,
353,"2,98","9,646881469",,,
354,"2,81","10,84942772",,,
355,"3,21","8,313988238",,,
356,"2,91","10,1165747",,,
357,"3,07","9,089557046",,,
358,"2,89","10,257081",,,
359,"3,13","8,744415703",,,
360,"2,78","11,08485148",,,
361,"3,15","8,633728012",,,
362,"2,85","10,54701954",,,
363,"3,03","9,331129432",,,
364,"2,77","11,16503098",,,
365,3,"9,518685133",,,
366,3,"9,518685133",,,
367,"2,98","9,646881469",,,
368,"2,8","10,92706202",,,
369,"2,81","10,84942772",,,
370,"3,14","8,688807477",,,
371,"2,76","11,24608357",,,
372,"3,03","9,331129432",,,
373,"2,88","10,32843439",,,
374,"3,22","8,262428745",,,
375,"2,74","11,41085916",,,
376,"3,15","8,633728012",,,
377,"2,85","10,54701954",,,
378,"2,93","9,978935829",,,
379,"2,82","10,77261785",,,
380,3,"9,518685133",,,
381,"2,93","9,978935829",,,
382,"2,96","9,777685149",,,
383,"3,01","9,455543118",,,
384,"2,9","10,18646447",,,
385,"2,94","9,911167361",,,
386,"3,05","9,209155195",,,
387,"3,05","9,209155195",,,
388,"3,24","8,160738283",,,
389,"2,82","10,77261785",,,
390,"2,94","9,911167361",,,
391,"2,82","10,77261785",,,
392,"2,99","9,58246174",,,
393,"3,02","9,393027302",,,
394,"2,81","10,84942772",,,
395,3,"9,518685133",,,
396,"3,01","9,455543118",,,
397,"2,96","9,777685149",,,
398,"2,92","10,04740174",,,
399,"3,1","8,914481395",,,
400,"2,93","9,978935829",,,
401,"2,89","10,257081",,,
402,"3,04","9,269841391",,,
403,"2,92","10,04740174",,,
404,3,"9,518685133",,,
405,"2,97","9,711952998",,,
406,"3,03","9,331129432",,,
407,"2,8","10,92706202",,,
408,"2,99","9,58246174",,,
409,"2,98","9,646881469",,,
410,"2,99","9,58246174",,,
411,"3,02","9,393027302",,,
412,"2,88","10,32843439",,,
413,3,"9,518685133",,,
414,"2,99","9,58246174",,,
415,"2,93","9,978935829",,,
416,"3,07","9,089557046",,,
417,"2,92","10,04740174",,,
418,"2,94","9,911167361",,,
419,"2,97","9,711952998",,,
420,"2,95","9,844086895",,,
421,"3,11","8,857245707",,,
422,"2,81","10,84942772",,,
423,"3,02","9,393027302",,,
424,3,"9,518685133",,,
425,"2,83","10,69662078",,,
426,"2,93","9,978935829",,,
